order_id,order_date,ship_date,ship_mode,customer_name,segment,state,country,market,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,shipping_cost,order_priority,year,delivery_days,profit_status,month
IT-2011-2942451,2011-01-04,2011-01-09,Standard Class,grant thornton,corporate,england,united kingdom,eu,north,OFF-AR-10002485,office supplies,art,"boston markers, easy-erase",27,2,0.5,-21.9,2.11,medium,2011,5,loss,January
CA-2011-103800,2011-01-04,2011-01-08,Standard Class,darren powers,consumer,texas,united states,us,central,OFF-PA-10000174,office supplies,paper,"message book, wirebound, four 5 1/2"" x 4"" forms/pg., 200 dupl. sets/book",16,2,0.2,5.5512,1.82,high,2011,4,profit,January
IN-2011-33036,2011-01-04,2011-01-08,Standard Class,bradley drucker,consumer,tottori,japan,apac,north asia,OFF-LA-10000784,office supplies,labels,"harbour creations file folder labels, 5000 label set",27,3,0.0,13.68,1.54,medium,2011,4,profit,January
IT-2011-2942451,2011-01-04,2011-01-09,Standard Class,grant thornton,corporate,england,united kingdom,eu,north,OFF-ST-10001426,office supplies,storage,"eldon folders, single width",17,2,0.5,-1.05,0.9,medium,2011,5,loss,January
SU-2011-5190,2011-01-04,2011-01-08,Standard Class,jasper cacioppo,consumer,khartoum,sudan,africa,africa,OFF-BOS-10004950,office supplies,art,"boston pens, fluorescent",15,1,0.0,2.61,0.82,medium,2011,4,profit,January
SU-2011-5190,2011-01-04,2011-01-08,Standard Class,jasper cacioppo,consumer,khartoum,sudan,africa,africa,OFF-AVE-10003279,office supplies,binders,"avery hole reinforcements, durable",6,1,0.0,2.1,0.51,medium,2011,4,profit,January
MX-2011-109267,2011-01-05,2011-01-09,Standard Class,jennifer halladay,consumer,veracruz,mexico,latam,north,OFF-AP-10004245,office supplies,appliances,"hoover stove, black","3,029",8,0.0,999.36,191.2,medium,2011,4,profit,January
ES-2011-3848439,2011-01-05,2011-01-07,First Class,michael granlund,home office,rhône-alpes,france,eu,central,OFF-AR-10001291,office supplies,art,"sanford canvas, fluorescent",207,4,0.0,76.56,20.64,medium,2011,2,profit,January
ES-2011-3848439,2011-01-05,2011-01-07,First Class,michael granlund,home office,rhône-alpes,france,eu,central,OFF-AR-10000833,office supplies,art,"binney & smith pencil sharpener, water color",90,3,0.0,20.52,15.27,medium,2011,2,profit,January
CA-2011-112326,2011-01-05,2011-01-09,Standard Class,phillina ober,home office,illinois,united states,us,central,OFF-ST-10002743,office supplies,storage,safco boltless steel shelving,273,3,0.2,-64.7748,13.59,high,2011,4,loss,January
IN-2011-27681,2011-01-05,2011-01-11,Standard Class,shaun weien,consumer,taipei city,taiwan,apac,north asia,FUR-FU-10000394,furniture,furnishings,"rubbermaid photo frame, durable",49,1,0.0,22.92,5.82,low,2011,6,profit,January
CA-2011-112326,2011-01-05,2011-01-09,Standard Class,phillina ober,home office,illinois,united states,us,central,OFF-LA-10003223,office supplies,labels,avery 508,12,3,0.2,4.2717,0.99,high,2011,4,profit,January
CA-2011-112326,2011-01-05,2011-01-09,Standard Class,phillina ober,home office,illinois,united states,us,central,OFF-BI-10004094,office supplies,binders,gbc standard plastic binding systems combs,4,2,0.8,-5.487,0.55,high,2011,4,loss,January
ES-2011-5496179,2011-01-06,2011-01-09,Second Class,shahid hopkins,consumer,ile-de-france,france,eu,central,FUR-FU-10000468,furniture,furnishings,"advantus frame, durable",324,3,0.0,35.64,39.98,high,2011,3,profit,January
IN-2011-29963,2011-01-06,2011-01-10,Standard Class,brosina hoffman,consumer,sumatera barat,indonesia,apac,southeast asia,OFF-ST-10000344,office supplies,storage,"fellowes box, industrial",50,3,0.17,6.0084,6.2,high,2011,4,profit,January
IN-2011-29963,2011-01-06,2011-01-10,Standard Class,brosina hoffman,consumer,sumatera barat,indonesia,apac,southeast asia,OFF-FA-10000549,office supplies,fasteners,"advantus staples, metal",41,7,0.47,-27.0942,2.63,high,2011,4,loss,January
AO-2011-4910,2011-01-06,2011-01-11,Standard Class,grace kelly,corporate,luanda,angola,africa,africa,TEC-LOG-10003079,technology,accessories,"logitech flash drive, erganomic",28,1,0.0,12.72,2.0,medium,2011,5,profit,January
IN-2011-76107,2011-01-06,2011-01-10,Standard Class,khloe miller,consumer,jilin,china,apac,north asia,OFF-EN-10002166,office supplies,envelopes,"cameo manila envelope, with clear poly window",31,1,0.0,13.11,1.96,high,2011,4,profit,January
CA-2011-167199,2011-01-07,2011-01-11,Standard Class,maria etezadi,home office,kentucky,united states,us,south,FUR-CH-10004063,furniture,chairs,global deluxe high-back manager's chair,"2,574",9,0.0,746.4078,258.99,high,2011,4,profit,January
CA-2011-167199,2011-01-07,2011-01-11,Standard Class,maria etezadi,home office,kentucky,united states,us,south,OFF-BI-10004632,office supplies,binders,ibico hi-tech manual binding system,610,2,0.0,274.491,88.07,high,2011,4,profit,January
CA-2011-167199,2011-01-07,2011-01-11,Standard Class,maria etezadi,home office,kentucky,united states,us,south,TEC-PH-10004977,technology,phones,ge 30524ee4,392,2,0.0,113.6742,62.37,high,2011,4,profit,January
MZ-2011-1260,2011-01-07,2011-01-10,First Class,stewart visinsky,consumer,niassa,mozambique,africa,africa,OFF-ELD-10001694,office supplies,storage,"eldon file cart, single width",256,2,0.0,46.02,52.46,high,2011,3,profit,January
ID-2011-58670,2011-01-07,2011-01-11,Standard Class,maribeth schnelling,consumer,national capital,philippines,apac,southeast asia,TEC-MA-10000868,technology,machines,"panasonic phone, wireless",445,7,0.25,-136.71,46.97,high,2011,4,loss,January
ID-2011-58670,2011-01-07,2011-01-11,Standard Class,maribeth schnelling,consumer,national capital,philippines,apac,southeast asia,TEC-AC-10003413,technology,accessories,"logitech router, programmable",274,2,0.45,-44.838,42.19,high,2011,4,loss,January
ES-2011-5433855,2011-01-07,2011-01-08,First Class,dave poirier,corporate,provence-alpes-côte d'azur,france,eu,central,OFF-ST-10004855,office supplies,storage,"smead lockers, industrial",716,4,0.1,143.16,32.46,medium,2011,1,profit,January
ID-2011-58670,2011-01-07,2011-01-11,Standard Class,maribeth schnelling,consumer,national capital,philippines,apac,southeast asia,TEC-MA-10004482,technology,machines,"panasonic card printer, white",388,3,0.25,25.8075,26.2,high,2011,4,profit,January
LE-2011-9590,2011-01-07,2011-01-11,Standard Class,harry marie,corporate,beirut,lebanon,emea,emea,TEC-HP -10000464,technology,copiers,"hp fax and copier, color",174,1,0.0,71.46,23.84,high,2011,4,profit,January
CA-2011-167199,2011-01-07,2011-01-11,Standard Class,maria etezadi,home office,kentucky,united states,us,south,TEC-PH-10004539,technology,phones,wireless extenders zboost yx545 soho signal booster,756,4,0.0,204.1092,13.82,high,2011,4,profit,January
MZ-2011-1260,2011-01-07,2011-01-10,First Class,stewart visinsky,consumer,niassa,mozambique,africa,africa,OFF-STA-10004885,office supplies,art,"stanley sketch pad, easy-erase",45,1,0.0,8.49,13.7,high,2011,3,profit,January
ES-2011-5433855,2011-01-07,2011-01-08,First Class,dave poirier,corporate,provence-alpes-côte d'azur,france,eu,central,OFF-FA-10002071,office supplies,fasteners,"accos thumb tacks, assorted sizes",33,3,0.0,2.25,9.73,medium,2011,1,profit,January
ES-2011-5433855,2011-01-07,2011-01-08,First Class,dave poirier,corporate,provence-alpes-côte d'azur,france,eu,central,FUR-BO-10000265,furniture,bookcases,"bush floating shelf set, pine",155,1,0.1,36.228,5.72,medium,2011,1,profit,January
CA-2011-130813,2011-01-07,2011-01-09,Second Class,lycoris saunders,consumer,california,united states,us,west,OFF-PA-10002005,office supplies,paper,xerox 225,19,3,0.0,9.3312,4.37,high,2011,2,profit,January
AG-2011-7230,2011-01-07,2011-01-11,Standard Class,alyssa crouse,corporate,alger,algeria,africa,africa,OFF-STA-10000244,office supplies,art,"stanley sketch pad, fluorescent",91,2,0.0,14.58,4.36,medium,2011,4,profit,January
MX-2011-135629,2011-01-07,2011-01-07,Same Day,dorothy dickinson,consumer,são paulo,brazil,latam,south,OFF-FA-10001871,office supplies,fasteners,"stockwell rubber bands, bulk pack",43,4,0.0,6.0,3.94,high,2011,0,profit,January
MX-2011-135629,2011-01-07,2011-01-07,Same Day,dorothy dickinson,consumer,são paulo,brazil,latam,south,OFF-BI-10000136,office supplies,binders,"ibico index tab, durable",19,3,0.0,2.4,3.69,high,2011,0,profit,January
CA-2011-106054,2011-01-07,2011-01-08,First Class,jack o'briant,corporate,georgia,united states,us,south,OFF-AR-10002399,office supplies,art,"dixon prang watercolor pencils, 10-color set with brush",13,3,0.0,5.2398,3.51,critical,2011,1,profit,January
ID-2011-58670,2011-01-07,2011-01-11,Standard Class,maribeth schnelling,consumer,national capital,philippines,apac,southeast asia,OFF-AR-10003684,office supplies,art,"bic sketch pad, fluorescent",27,1,0.45,-4.494,3.21,high,2011,4,loss,January
LE-2011-9590,2011-01-07,2011-01-11,Standard Class,harry marie,corporate,beirut,lebanon,emea,emea,FUR-ADV-10000847,furniture,furnishings,"advantus stacking tray, black",26,1,0.0,7.38,2.88,high,2011,4,profit,January
CA-2011-167199,2011-01-07,2011-01-11,Standard Class,maria etezadi,home office,kentucky,united states,us,south,OFF-FA-10001883,office supplies,fasteners,"alliance super-size bands, assorted sizes",31,4,0.0,0.3112,2.19,high,2011,4,profit,January
CA-2011-167199,2011-01-07,2011-01-11,Standard Class,maria etezadi,home office,kentucky,united states,us,south,OFF-PA-10000955,office supplies,paper,southworth 25% cotton granite paper & envelopes,7,1,0.0,3.0084,1.13,high,2011,4,profit,January
ID-2011-28752,2011-01-07,2011-01-12,Standard Class,adam bellavance,home office,singapore,singapore,apac,southeast asia,OFF-LA-10002875,office supplies,labels,"novimex shipping labels, adjustable",18,2,0.0,5.46,0.89,medium,2011,5,profit,January
CA-2011-167199,2011-01-07,2011-01-11,Standard Class,maria etezadi,home office,kentucky,united states,us,south,OFF-AR-10001662,office supplies,art,rogers handheld barrel pencil sharpener,5,2,0.0,1.4796,0.52,high,2011,4,profit,January
IT-2011-5134922,2011-01-07,2011-01-10,First Class,joy smith,consumer,groningen,netherlands,eu,central,OFF-AR-10000316,office supplies,art,"stanley pens, blue",5,1,0.5,-0.105,0.28,medium,2011,3,loss,January
IN-2011-19330,2011-01-08,2011-01-12,Second Class,nicole fjeld,home office,yunnan,china,apac,north asia,TEC-MA-10002468,technology,machines,"panasonic inkjet, white","2,174",7,0.0,260.82,275.52,medium,2011,4,profit,January
NI-2011-4770,2011-01-08,2011-01-11,Second Class,joe elijah,consumer,lagos,nigeria,africa,africa,OFF-AVE-10000608,office supplies,binders,"avery index tab, economy",5,2,0.7,-4.542,0.82,high,2011,3,loss,January
IN-2011-61302,2011-01-10,2011-01-11,First Class,dan lawera,consumer,queensland,australia,apac,oceania,TEC-PH-10004664,technology,phones,"nokia smart phone, with caller id","2,875",5,0.1,511.095,665.27,medium,2011,1,profit,January
HU-2011-1380,2011-01-10,2011-01-10,Same Day,elpida rittenbach,corporate,budapest,hungary,emea,emea,FUR-IKE-10002894,furniture,bookcases,"ikea library with doors, traditional",363,1,0.0,159.87,134.59,critical,2011,0,profit,January
HU-2011-1380,2011-01-10,2011-01-10,Same Day,elpida rittenbach,corporate,budapest,hungary,emea,emea,TEC-CAN-10004354,technology,copiers,"canon ink, laser",589,4,0.0,276.6,114.15,critical,2011,0,profit,January
EG-2011-4260,2011-01-10,2011-01-12,Second Class,sanjit jacobs,home office,al qahirah,egypt,africa,africa,FUR-CHR-10004803,furniture,tables,"chromcraft wood table, fully assembled",968,2,0.0,445.26,80.13,high,2011,2,profit,January
HU-2011-1380,2011-01-10,2011-01-10,Same Day,elpida rittenbach,corporate,budapest,hungary,emea,emea,OFF-SAN-10003226,office supplies,paper,"sandisk message books, recycled",142,6,0.0,63.9,67.79,critical,2011,0,profit,January
HU-2011-1380,2011-01-10,2011-01-10,Same Day,elpida rittenbach,corporate,budapest,hungary,emea,emea,OFF-SAN-10000874,office supplies,art,"sanford pencil sharpener, fluorescent",155,6,0.0,54.18,58.32,critical,2011,0,profit,January
HU-2011-1380,2011-01-10,2011-01-10,Same Day,elpida rittenbach,corporate,budapest,hungary,emea,emea,TEC-EPS-10000774,technology,machines,"epson phone, red",156,2,0.0,23.4,52.91,critical,2011,0,profit,January
HU-2011-1380,2011-01-10,2011-01-10,Same Day,elpida rittenbach,corporate,budapest,hungary,emea,emea,OFF-EAT-10002068,office supplies,paper,"eaton note cards, premium",53,2,0.0,0.0,16.06,critical,2011,0,loss,January
HU-2011-1380,2011-01-10,2011-01-10,Same Day,elpida rittenbach,corporate,budapest,hungary,emea,emea,OFF-CAM-10001249,office supplies,envelopes,"cameo mailers, with clear poly window",42,1,0.0,1.65,13.08,critical,2011,0,profit,January
IN-2011-13065,2011-01-10,2011-01-11,First Class,patrick o'donnell,consumer,guangxi,china,apac,north asia,OFF-SU-10003559,office supplies,supplies,"kleencut ruler, steel",26,2,0.0,5.4,5.86,high,2011,1,profit,January
IN-2011-61302,2011-01-10,2011-01-11,First Class,dan lawera,consumer,queensland,australia,apac,oceania,OFF-LA-10000879,office supplies,labels,"hon file folder labels, alphabetical",30,4,0.1,12.096,5.54,medium,2011,1,profit,January
IN-2011-13065,2011-01-10,2011-01-11,First Class,patrick o'donnell,consumer,guangxi,china,apac,north asia,OFF-BI-10002853,office supplies,binders,"avery binder covers, recycled",34,3,0.0,16.11,5.26,high,2011,1,profit,January
HU-2011-1380,2011-01-10,2011-01-10,Same Day,elpida rittenbach,corporate,budapest,hungary,emea,emea,TEC-STA-10000546,technology,machines,"startech calculator, red",37,1,0.0,5.55,4.32,critical,2011,0,profit,January
IN-2011-61302,2011-01-10,2011-01-11,First Class,dan lawera,consumer,queensland,australia,apac,oceania,OFF-PA-10003731,office supplies,paper,"enermax note cards, premium",162,6,0.1,53.694,3.02,medium,2011,1,profit,January
HU-2011-1380,2011-01-10,2011-01-10,Same Day,elpida rittenbach,corporate,budapest,hungary,emea,emea,OFF-SAN-10001128,office supplies,art,"sanford pens, easy-erase",11,1,0.0,2.61,2.59,critical,2011,0,profit,January
HU-2011-1380,2011-01-10,2011-01-10,Same Day,elpida rittenbach,corporate,budapest,hungary,emea,emea,OFF-AVE-10000357,office supplies,binders,"avery binder covers, clear",11,1,0.0,2.4,2.03,critical,2011,0,profit,January
ES-2011-5158390,2011-01-11,2011-01-11,Same Day,roy collins,consumer,england,united kingdom,eu,north,FUR-CH-10004255,furniture,chairs,"safco executive leather armchair, red","1,384",3,0.0,13.77,178.98,medium,2011,0,profit,January
US-2011-163874,2011-01-11,2011-01-12,First Class,philip fox,consumer,méxico,mexico,latam,north,OFF-ST-10003741,office supplies,storage,"smead lockers, blue","1,323",10,0.0,238.0,103.84,medium,2011,1,profit,January
US-2011-163874,2011-01-11,2011-01-12,First Class,philip fox,consumer,méxico,mexico,latam,north,FUR-BO-10002214,furniture,bookcases,"dania floating shelf set, traditional",452,5,0.2,-107.3,57.75,medium,2011,1,loss,January
US-2011-163874,2011-01-11,2011-01-12,First Class,philip fox,consumer,méxico,mexico,latam,north,TEC-PH-10002755,technology,phones,"apple headset, voip",245,5,0.0,88.0,39.11,medium,2011,1,profit,January
ES-2011-5158390,2011-01-11,2011-01-11,Same Day,roy collins,consumer,england,united kingdom,eu,north,OFF-AR-10001599,office supplies,art,"binney & smith canvas, blue",103,2,0.0,19.5,20.54,medium,2011,0,profit,January
US-2011-163874,2011-01-11,2011-01-12,First Class,philip fox,consumer,méxico,mexico,latam,north,OFF-AP-10000569,office supplies,appliances,"kitchenaid coffee grinder, black",140,3,0.0,32.1,6.47,medium,2011,1,profit,January
IN-2011-30733,2011-02-01,2011-02-03,Second Class,patrick o'donnell,consumer,dhaka,bangladesh,apac,central asia,TEC-CO-10002316,technology,copiers,"brother personal copier, laser",286,2,0.0,71.4,57.3,critical,2011,2,profit,February
CA-2011-115161,2011-02-01,2011-02-03,First Class,liz carlisle,consumer,california,united states,us,west,FUR-BO-10003966,furniture,bookcases,"sauder facets collection library, sky alder finish",291,2,0.15,3.4196,54.64,high,2011,2,profit,February
AO-2011-1390,2011-02-01,2011-02-04,Second Class,david kendrick,corporate,luanda,angola,africa,africa,OFF-FEL-10001541,office supplies,storage,"fellowes lockers, wire frame",206,1,0.0,92.88,53.08,critical,2011,3,profit,February
ID-2011-56493,2011-02-01,2011-02-03,Second Class,stephanie phelps,corporate,hubei,china,apac,north asia,OFF-ST-10002161,office supplies,storage,"tenex trays, single width",163,3,0.0,68.31,44.36,critical,2011,2,profit,February
IN-2011-36074,2011-02-01,2011-02-05,Second Class,david kendrick,corporate,chongqing,china,apac,north asia,OFF-AP-10001254,office supplies,appliances,"kitchenaid coffee grinder, red",352,5,0.0,137.4,33.15,medium,2011,4,profit,February
US-2011-118892,2011-02-01,2011-02-06,Standard Class,dave hallsten,corporate,panama,panama,latam,central,OFF-AP-10002317,office supplies,appliances,"hamilton beach refrigerator, silver",401,2,0.4,20.024,21.38,medium,2011,5,profit,February
IR-2011-6550,2011-02-01,2011-02-06,Standard Class,patrick o'brill,consumer,razavi khorasan,iran,emea,emea,FUR-ADV-10002601,furniture,furnishings,"advantus photo frame, erganomic",310,6,0.0,148.5,19.65,high,2011,5,profit,February
ES-2011-5268439,2011-02-01,2011-02-03,Second Class,gene hale,corporate,poitou-charentes,france,eu,central,OFF-AR-10001529,office supplies,art,"binney & smith pencil sharpener, easy-erase",140,5,0.0,15.3,19.23,high,2011,2,profit,February
IN-2011-30733,2011-02-01,2011-02-03,Second Class,patrick o'donnell,consumer,dhaka,bangladesh,apac,central asia,OFF-SU-10000484,office supplies,supplies,"kleencut ruler, high speed",41,3,0.0,11.79,11.13,critical,2011,2,profit,February
US-2011-118892,2011-02-01,2011-02-06,Standard Class,dave hallsten,corporate,panama,panama,latam,central,TEC-AC-10001221,technology,accessories,"memorex memory card, usb",82,2,0.4,-19.136,6.21,medium,2011,5,loss,February
ES-2011-5460465,2011-02-01,2011-02-05,Standard Class,ralph ritter,consumer,emilia-romagna,italy,eu,south,OFF-AR-10000980,office supplies,art,"sanford pencil sharpener, water color",78,3,0.0,20.34,6.03,medium,2011,4,profit,February
IN-2011-30733,2011-02-01,2011-02-03,Second Class,patrick o'donnell,consumer,dhaka,bangladesh,apac,central asia,OFF-BI-10003012,office supplies,binders,"wilson jones hole reinforcements, economy",23,5,0.0,9.6,5.29,critical,2011,2,profit,February
IN-2011-30733,2011-02-01,2011-02-03,Second Class,patrick o'donnell,consumer,dhaka,bangladesh,apac,central asia,OFF-LA-10001292,office supplies,labels,"smead file folder labels, adjustable",20,3,0.0,9.9,3.78,critical,2011,2,profit,February
ES-2011-5268439,2011-02-01,2011-02-03,Second Class,gene hale,corporate,poitou-charentes,france,eu,central,OFF-EN-10004597,office supplies,envelopes,"globeweis peel and seal, set of 50",21,1,0.0,0.0,3.34,high,2011,2,loss,February
ES-2011-2205486,2011-02-01,2011-02-07,Standard Class,ionia mcgrath,consumer,north rhine-westphalia,germany,eu,central,OFF-BI-10001249,office supplies,binders,"acco hole reinforcements, recycled",21,3,0.0,10.53,1.86,medium,2011,6,profit,February
